Id,SpeakerName,Phrase,translation
1040408001,要,オーディションを始めるわ。/nまずはライオンから。,甄选开始。/n首先是狮子。
1040408002,,,
1040408003,要,……次はオズの魔法使い。/nじゃあ、いろはから。,……接下来是奥兹国王。/n那么，从伊吕波开始。
1040408004,いろは,はい！,是！
1040408005,いろは,……『私は偉大にして恐ろしいオズ。お前は誰だ？　なぜ会いに来た』,……『我是伟大而可怕的奥兹。你是谁？为何来见我？』
1040408006,電姫劇団員たち,（おおお！　いろはさん、すごい！/n　めちゃくちゃ魔女っぽい！）,（噢噢噢！伊吕波小姐，好厉害！/n　非常有魔女的感觉！）
1040408007,カミラ,（人間だってバレないように、威勢よく立ち振る舞うオズ……。/n　いろっち、ハマってるな～）,（为了不让人类身份暴露而故作威严的奥兹……/n　小伊吕波演得很传神呢～）
1040408008,叶羽,（いろはってば、やるじゃない）,（伊吕波这家伙，挺有一套的嘛）
1040408009,いろは,『邪悪な魔女が死ぬまで、お前は叔父や叔母に会うことはできない。/n　魔女は邪悪……とてつもなく邪悪だ……殺さねばならない』,『在邪恶的魔女死掉之前，你别想见到你的叔叔和婶婶。/n　魔女是邪恶的……极其邪恶……必须杀了她』
1040408010,いろは,『さあ行け。魔女を殺すまでは、二度と私に会おうなどと思うな』,『走吧。在杀死魔女之前，别再妄想能见到我』
1040408011,美兎,（いろはちゃん、すごい……！/n　美兎も、頑張らないと……同じ舞台に立てるように……！）,（伊吕波酱，好厉害……！/n　美兔也要加油……争取能站在同一个舞台上……！）
1040408012,,,
1040408013,要,じゃあ次、いろは。/nドロシーをやってみてちょうだい。,接下来，伊吕波。/n请试演一下多萝西。
1040408014,いろは,はい……！　『ねえ、善い魔女さん。/nわたし、おじさんとおばさんの所へ帰りたいの。きっと心配しているわ』,好……！『那个，善良的魔女小姐。/n我想回到叔叔和婶婶的身边。他们一定很担心我』
1040408015,美兎,（いろはちゃんのドロシー……この間より、もっと良くなってる。/n　元気で、まっすぐで……つい応援したくなっちゃうような……）,（伊吕波酱的多萝西……比之前演得更好了。/n　充满元气又坦率……让人忍不住想要为她加油……）
1040408016,蕾,（千寿、なかなかいいな……/n　センスの有無など感じさせない、素晴らしい演技だ）,（千寿，演得挺不错……/n　这种出色的演技，完全让人感觉不到有没有天赋这种事）
1040408017,いろは,『さあ、エメラルドの都に行きましょう！/n　偉大なオズさまに、家に帰る方法を尋ねなきゃ！』,『走吧，去翡翠城！/n　必须向伟大的奥兹大人询问回家的办法！』
1040408018,要,はい、ありがとう。/nじゃあ最後、美兎。,好，谢谢。/n那么最后，美兔。
1040408019,美兎,は……はい……！,是……是……！
1040408020,美兎,……ふぅ……。,……呼……。
1040408021,美兎,『ねえ、善い魔女さん。わたし、おじさんとおばさんの所へ帰りたいの。/n　きっと心配しているわ』,『那个，善良的魔女小姐。我想回到叔叔和婶婶的身边。/n　他们一定很担心我』
1040408022,いろは,！,！
1040408023,叶羽,（わお……これは手ごわい相手来ちゃったぞ）,（哇哦……来了个强劲的对手啊）
1040408024,蕾,（おお……！）,（喔……！）
1040408025,カミラ,（えっ、ヤバ……あれが、みとりん……？）,（诶，糟了……那是，小美兔……？）
1040408026,要,『それならば、エメラルドの都へ行かなければ。/n　オズが助けてくれるかもしれません』,『既然如此，那就必须去翡翠城。/n　奥兹或许能帮上忙』
1040408027,美兎,『オズ……？　その人は善い人なの？』,『奥兹……？那个人是好人吗？』
1040408028,要,『偉大な魔法使いです。エメラルドの都に住んでいる。/n　他のどんな魔女や魔法使いよりも強いのですよ』,『是伟大的魔法师。住在翡翠城。/n　他比任何魔女或魔法师都要强大呢』
1040408029,いろは,（みとちゃん……）,（美兔酱……）
