Id,SpeakerName,Phrase,translation
1040406001,カミラ,……というわけで、ちょっとこれからオーディションに向けての練習とか、/n準備とかで忙しくなっちゃいそうで……配信の頻度が減りそーなんだよね。,……事情就是这样，接下来为了准备试镜，/n可能会变得很忙……所以直播频率大概会降低哦。
1040406002,カミラ,いつも楽しみにしててくれるみんな……マジ、ゴメン！/n落ち着いたらまた、コラボ配信とかガンガンやってくから！　期待してて！,一直期待我直播的大家……真的，很抱歉！/n等忙完这段时间，我会疯狂联动直播的！敬请期待！
1040406003,コメント,『そっかー。ちょっと寂しいなー』,『这样啊——。感觉有点寂寞呢——』
1040406004,コメント,『次の公演も楽しみにしてる！/n　この間の『夏の夜の夢』のパックも、めっちゃ良かったし！』,『我会期待下次公演的！/n　之前《仲夏夜之梦》里的迫克，演得超级棒！』
1040406005,コメント,『頑張れー！　ファイト！　次も絶対観に行く！』,『加油啊——！Fight！下次我也一定会去看的！』
1040406006,カミラ,みんな、ありがと～！　/nみんなの言葉に超救われてるー！,谢谢大家～！/n大家的留言真的超级治愈我——！
1040406007,カミラ,次の公演については、まだキャスティングも決まってないし、/nウチはオーディション自体珍しいから、どうなんのか全然分かんないけど……。,关于下次公演，目前选角还没定，/n而且由于我们剧团很少举行试镜，所以完全不知道会变成什么样……。
1040406008,カミラ,でも、絶対にみんなを楽しませる舞台にしてみせるから！/nそれだけは約束する！　だから、楽しみに待ってて！,但是，我绝对会呈现出一场让大家乐在其中的舞台！/n唯独这件事我可以保证！所以，请期待着吧！
1040406009,コメント,『イエーイ！　待ってる！』,『耶——！等你！』
1040406010,カミラ,……よし、そろそろ配信切ろうかな～！/nみんな、ちゃんと睡眠取りなよ～？　そんじゃねー！,……好啦，差不多该关直播了～！/n大家要好好睡觉哦～？再见啦——！
1040406011,カミラ,終了っと。/n……ウチも電姫の役者として頑張らなきゃな。,结束。/n……我也得作为电姬的演员好好努力才行啊。
1040406012,カミラ,よーし、気合い入れっぞ～！　一念発起だー！/n応援してくれてるみんなのためにも、必ず舞台に立ってみせる！,好——，拿出干劲来！要下定决心了！/n为了支持我的大家，我一定要登上那个舞台！
1040406013,,, 
1040406014,美兎,（……あれ？　誰かいる？/n　まだ結構早い時間なのに……）,（……咦？有人在吗？/n　明明时间还挺早的……）
1040406015,いろは,『ねえ、善い魔女さん。わたし、おじさんとおばさんの所へ帰りたいの。/n　きっと心配しているわ』,『那个，好女巫小姐。我想回到叔叔和婶婶身边。/n　他们一定会担心的』
1040406016,美兎,（いろはちゃん……？）,（伊吕波酱……？）
1040406017,いろは,『オズ……？　その人は善い人なの？』,『奥兹……？那个人是好人吗？』
1040406018,いろは,『ねえ見てトト！　この銀の靴、わたしにぴったり合ったわ！/n　長い旅路でも、これならきっとすり減らないわね』,『快看托托！这双银鞋子，我穿正合适！/n　这样即使是长途跋涉，也一定不会磨坏的』
1040406019,いろは,『さあ、エメラルドの都に行きましょう！/n　偉大なオズさまに、家に帰る方法を尋ねなきゃ！』,『来，我们去翡翠城吧！/n　必须去请教伟大的奥兹大人，回家的方法！』
1040406020,いろは,……うーん……。なんか違うような……。,……嗯……。总觉得哪里不太对……。
1040406021,美兎,おはよう……いろはちゃん。,早上好……伊吕波酱。
