Id,SpeakerName,Phrase,translation
120062001,ぱんだ,さっすーが怖がるもの……ですか？,
120062002,静香,ぱんだは流石と長い付き合いでしょ？/nそういう話、聞いたことない？,
120062003,ここな,流石ちゃん、怖いものは無いんじゃないかと思って……。,
120062004,カトリナ,クモを鷲掴みに出来るような子だもの。/nなんでも平気に決まってるわよ。,
120062005,ぱんだ,いやいや。変なやつだけど、さっすーも人間ですからね。,
120062006,ぱんだ,怖いものくらい、ちゃんとありますよ。,
120062007,静香,えっ、そうなの……？,
120062008,ここな,やっぱりそうだよね……。/nちょっと安心したかも。,
120062009,カトリナ,ちなみになんなのよ？　流石の怖いものって。,
120062010,ぱんだ,えー、それをぱんだが教えちゃうのはなー。/nさっすーにも悪いですしー。,
120062011,ぱんだ,さっすーの名誉のために、あの秘密を教えるわけには……。,
120062012,カトリナ,そこまで勿体ぶられると、余計に気になるわね……。,
120062013,静香,流石の弱点か……。,
120062014,知冴,私がどうかした？,
120062015,ここな,流石ちゃん！？,
120062016,ぱんだ,いやー、なんでも？/nこの前の、さっすーの武勇伝を聞いてただけ。,
120062017,知冴,武勇伝……？　私、いつの間にか武将になってた？,
120062018,知冴,天下を治めるべき？,
120062019,ぱんだ,さっすーが統治する世界、ゾッとするわー。,
120062020,ここな,あっ、ねぇ見て。窓からアゲハチョウが入ってきた。,
120062021,静香,あらら、外に出してあげないとね。,
120062022,カトリナ,綺麗だけど、蝶々もあんまり触りたくないわ……。,
120062023,カトリナ,ここはまた、流石にお願いして……。,
120062024,知冴,……。,
120062025,カトリナ,流石……？　どうかしたの？,
120062026,ぱんだ,……ぷっ！　あははははっ！/nなんてナイスタイミング！,
120062027,ぱんだ,あれですよ、さっすーの怖いもの！,
120062028,ここな,あれって……まさか、蝶々！？,
120062029,静香,い、意外だわ……。,
120062030,知冴,別に怖くないけど……？,
120062031,カトリナ,目を閉じて震えながら言われても、説得力ない。,
120062032,知冴,ほんとだよ？　ほんとに怖く……！！！,
120062033,ここな,あ、アゲハチョウが流石ちゃんの頭に止まって……。,
120062034,知冴,怖くない怖くない怖くない怖くない怖くない怖くない怖くない。,
120062035,ぱんだ,さっすーが、壊れたスピーカーみたいになった！,
120062036,ここな,さ、流石ちゃん落ち着いて！　今、外に逃がすからね！,
120062037,静香,よし、逃げていったわね。,
120062038,静香,流石、もう大丈夫よ。,
120062039,知冴,怖くない怖くない怖くない怖くない怖くない怖くない怖くない。,
120062040,カトリナ,怯えすぎて、声が聞こえてないみたいね……。,
120062041,ぱんだ,ま、しばらくほっときゃ治りますよ。,
120062042,ぱんだ,それより、面白いからこの様子を撮っときましょ！,
120062043,カトリナ,ぱんだ、あんたは流石の扱いが雑すぎよ……。,
120062044,ここな,今度から蝶を見かけたら、流石ちゃんを逃さないとね……。,
120062045,知冴,怖くない怖くない怖くない怖くない怖くない怖くない怖くない……。,
