Id,SpeakerName,Phrase,translation
1010202001,カトリナ,……。,……
1010202002,ここな,ねぇ静香ちゃん、カトリナちゃんどうしちゃったのかな？/n昨日、部屋に戻ってきてからずっと元気ないけど……。,静香你说，小卡特琳娜怎么了？/n她从昨天回我们寝室以来就一直没什么精神……
1010202003,静香,忘れ物を取りに行って、会議中の柊さんに怒られた……とか、/nそんな雰囲気じゃないよね……。,会不会是昨天去拿落下的东西的时候，被正在开会的柊姐训了一顿……/n也不是那种氛围呀……
1010202004,,,
1010202005,望有,みんな、揃ってるわね。/nそれじゃ、ミーティングを始めましょう。,看来大家都到齐了。/n那么，开始会议吧。
1010202006,望有,まずは、重要な連絡があるわ。/n……ここな、あなたによ。,首先，有一则重要的消息。/n……心菜，是给你的。
1010202007,カトリナ,……！,……！
1010202008,ここな,な、なんでしょう……？,是，是什么呢……？
1010202009,望有,スカウトの話が来てるの。/n相手は劇団オリンポス。,我们收到了挖角的商议。/n是由奥林匹斯剧团提出的。
1010202010,静香,えっ……？　オリンポスって、あの超大手の……！？,欸？奥林匹斯剧团，不就是那个规模超大的……！？
1010202011,ここな,えーーーーーーーーー！？,欸————！？
1010202012,望有,ええ。先日、シリウスに正式な連絡が来たの。/n『オペラ座の怪人』の演技を見て、判断したらしいわ。,没错。他们最近向天狼星提出了正式的商议。/n似乎是在看了『歌剧魅影』的表演后下的判断。
1010202013,ぱんだ,マ、マジで！？　オリンポスって押しも押されぬ大人気劇団ですよ！？/nそこからいきなりスカウトの話とか、ここちゃんヤバすぎ！,真，真的吗！？奥林匹斯可是实力超群 ，炙手可热的剧团呀！？/n心心你也太厉害了吧！
1010202014,知冴,ここなが遠くに行ってしまう……。/nまるで、南大西洋を泳ぐ本マグロになったようだ。,心菜将要去往远方……/n就像游至南大西洋的东方蓝鳍鲔一样。
1010202015,ぱんだ,わけわからん例え、やめろっての。,别说这种没头没尾的比喻。
1010202016,八恵,ここなさん、本当におめでとうございます！,心菜姐，恭喜你！
1010202017,八恵,……私も、もっと輝かないといけないみたいですね……！,……我也得变得更加光彩夺目才行呢……！
1010202018,カトリナ,……。,……
1010202019,知冴,カトリナ、どうかした？,卡特琳娜，怎么了？
1010202020,ぱんだ,あっ、カトりんったらもしかして～……、/nここちゃんがいなくなるかもって、不安になってます？,啊，莫非卡特琳你~……/n因为心心可能离开而感到不安了？
1010202021,ぱんだ,そうなったら、必然的におシズちゃんもいなくなっちゃいますし、/n寂しくなりますもんね～。,如果心心离开了，静静也必然会离开，/n那确实会变得很寂寞呀~
1010202022,カトリナ,……そんなんじゃないわよ。,……才不是这样。
1010202023,八恵,あの……みなさん。,那个……大家。
1010202024,ぱんだ,お？　新妻っちも、ここちゃんに複雑な心境だったり？/nスカウトするなら、先に自分を誘わんかい！　的な感じで。,哦？莫非新妻亲，你也对心心抱有复杂的感情吗？/n如果要来挖角，为什么不先找我呢！　这样的心情？
1010202025,八恵,そうじゃなくて……柊さんが睨んでますよ？,不是……柊姐瞪过来了哦？
1010202026,望有,……話を続けてもいいかしら？,……我能继续说下去吗？
1010202027,ぱんだ・知冴,すいませんでしたー！,非常抱歉——！
1010202028,カトリナ,……。,……
1010202029,望有,……判断はここなの意思に任せるわ。,……该如何选择，就交给心菜自己决定。
1010202030,望有,もし、スカウトを受ける場合は、私たちも全力でサポートするから。,如果你想要接受对方的挖角，那我们也会全力支持你。
1010202031,ここな,ありがとうございます。,非常感谢。
1010202032,ここな,……でも、すいません。スカウトの話は、お断りさせてください。,……可是，对不起。挖角这件事，请允许我拒绝。
1010202033,カトリナ,え……？,欸……？
1010202034,静香,……ここな、本気！？,……心菜，你是认真的吗！？
1010202035,ここな,うん、私にとっては、それが一番だと思うから。,嗯，我觉得，对我来说这才是最好的选择。
1010202036,望有,こんな話はもう二度と無いかもしれない。/nそれでもいいのね？,这种好事可能以后你再也不会有机会遇到。/n即使如此也没关系吗？
1010202037,ここな,はい。私はまだ、ここに……シリウスの舞台に、,是的。我还想继续站在这里……
1010202038,ここな,立ち続けていたいんです。,站在天狼星的舞台上。
1010202039,カトリナ,……なによ、それ……。,……这算什么呀……
1010202040,,,
1010202041,ここな,はー、今日はいろいろとびっくりした１日だったなー。,哈—，今天真是吓了我一跳啊—。
1010202042,静香,だからって、稽古でとちりすぎ。/nもうちょっと集中しなさい。,这也不是你在练习中频频失误的理由。/n你得更专注一些。
1010202043,ここな,えへへ……ごめんごめん。,欸嘿嘿……抱歉抱歉。
1010202044,静香,まったく……カトリナからも何か言って――,真是的……卡特琳娜你也说说——
1010202045,カトリナ,……ねぇ、ここな。/nオリンポスのスカウト、本気で断る気なの？,……心菜。/n你真的想拒绝奥林匹斯的挖角吗？
1010202046,ここな,カトリナちゃん……？,小卡特琳娜……？
1010202047,カトリナ,ワールドダイスターを目指してるんでしょ？/nこれだけのチャンスが来たら、貪欲に掴みにいくべきよ！,你的目标不是要成为世界大明星吗？/n既然现在有这么好的机会，那就应该遵从自己的欲望抓住它！
1010202048,ここな,でも……私はまだ、シリウスで頑張りたいんだ。,可是……我还是想留在天狼星继续努力。
1010202049,カトリナ,だからって……！/n静香も、本当にこのままでいいの！？,就算这样……！/n静香，你也觉得就这样下去没问题吗！？
1010202050,静香,うん。ここながそう決めたなら、私もそれでいい。,嗯。既然心菜是这么决定的，那我也不会反对。
1010202051,カトリナ,そう……なら、もういいわ。,这样啊……那，无所谓了。
1010202052,カトリナ,あとで後悔しても知らないから。,以后你们要后悔也不关我事。
1010202053,ここな,……カトリナちゃん、心配かけてごめんね。,……小卡特琳娜，抱歉让你费心了。
1010202054,カトリナ,別に……そういうんじゃないわよ……。/nただ、もっと慎重に考えるべきだと思っただけ。,才不是……我可没在担心你……/n只是，我觉得你应该更加慎重地考虑这件事。
1010202055,カトリナ,どうして……アタシばっかり悩んでるのよ……！,为什么……总是只有我在白操心啊……！
info,录制：ylaie 翻译：null  校对：潮留开,,
title,挖角的去向,,
