Id,SpeakerName,Phrase,translation
1010204001,ぱんだ,はー、食べた食べた！,哈ー，吃饱了吃饱了！
1010204002,ぱんだ,今日はいつにも増してご飯が美味しかった気がしますね～。,感觉今天的饭菜比以往都要好吃呀~。
1010204003,知冴,ぱんだ、成長期？,潘达，进入成长期了？
1010204004,ぱんだ,そりゃもちろん、ぱんだはまだまだ伸び盛り可愛い盛り……,那当然，潘达我的身高和可爱都还能继续成长……
1010204005,ぱんだ,って、そうじゃねー！,不是，没在说这个ー！
1010204006,ぱんだ,最近の稽古きっついから、そのあとのご飯が美味しいって話！,我是说，因为最近练习很辛苦，练习过后的饭菜会更香！
1010204007,八恵,ここなさんたちのスカウト騒ぎが落ち着いてから、/nみなさんのモチベーションが一段と上がりましたしね。,自从心菜同学被挖角的骚动后，/n大家的干劲都被激发起来了呀。
1010204008,カトリナ,当然よ。オリンポスのスカウトを蹴った相手に負けるわけにはいかないし。,那当然。可不能输给拒绝了奥林匹斯的家伙呀。
1010204009,静香,まだその話を引っ張るつもり？,这个话题怎么还没过去？
1010204010,ぱんだ,いやいや、これは一生の持ちネタにするくらいじゃないと！/nフラれたオリンポスにも悪いですしね～♪,不不不，这个梗当然要伴随你们一生才行！/n而且被拒绝的奥林匹斯那一方也有错呀~♪
1010204011,ぱんだ,あ、そうだ。フラれたといえば！/n今日、柊さんから聞いた次の公演……配役、どうなるんでしょうね？,啊，对了。说起被拒绝我就想起来！/n之前有听柊姐说今天要公布下一场公演的信息……会如何分配角色呢？
1010204012,ここな,『フラれた』って言葉で思い出すのはちょっとひどい気がする……。,从『被拒绝』一个短语是怎么联想到这个的……
1010204013,静香,でも、それが重要なキーワードなのは事実よ。/nなんてったって、次の演目は――,不过，这也确实是个重要的关键词。/n要问为什么，因为下一场公演的剧目可是——
1010204014,,,
1010204015,望有,次の公演で行う演目は『人魚姫』に決まったわ。,我们在下一场公演中表演的剧目已经决定了，是『美人鱼』。
1010204016,望有,あなたたちにも馴染み深い、シリウスの人気演目のひとつよ。/n配役はオーディションで決定するので、準備しておきなさい。,这个剧目你们也很熟悉，是天狼星广受好评的剧目之一。/n角色分配会经由试镜决定，请做好充分的准备。
1010204017,,,
1010204018,ここな,人魚姫、入団オーディションのときの演技課題だったよね。/nガッチガチに萎縮してたところを、八恵ちゃんに助けてもらって……。,美人鱼，是我们入团试镜时表演的课题对吧。/n在我手脚僵硬，畏缩不前的时候，小八惠帮助了我……
1010204019,八恵,ふふ、あの時のここなさんは迷子の子猫さんみたいで、/nとても可愛かったですよ。,哼哼，那时候的心菜同学就像迷路的小猫一样，/n非常可爱哦。
1010204020,ここな,そ、そんなことないよ！,才，才没这回事呢！
1010204021,ここな,人魚姫の八恵ちゃんのほうが、絶対に可愛かった！,扮演美人鱼时的小八惠，绝对会更加可爱！
1010204022,ぱんだ,ははは、何言ってるんですか♪/nぱんだが一番可愛いから。,哈哈哈，你们在说什么呢♪/n潘达我才是最可爱的。
1010204023,知冴,シロクマもかわいいよ。/n体長３メートルもあるとかヤバすぎ。,北极熊也很可爱哦。/n体长甚至可达三米，太厉害了。
1010204024,ぱんだ,動物のパンダの話じゃねーし！,我又不是在说动物的熊猫！
1010204025,静香,……今、なんの話してたんだっけ？,……我们刚才是在讨论什么话题？
1010204026,カトリナ,ここなが子猫みたいで可愛いって話？,心菜像小猫一样可爱的话题？
1010204027,ぱんだ,そうそう。そんなに可愛らしかったここちゃんも、/n今ではスカウトが来るような役者になって……。,没错没错。曾经如此惹人怜爱的心心，/n如今已经成为了一名会收到其他剧团挖角的演员……
1010204028,知冴,人生、何があるかわからないね。/n猫も演じりゃ虎に変わる。,没人知道人生的下一步会是什么模样。/n猫也可能变为老虎。
1010204029,ここな,あう～、もうカンベンして～！,啊呜~，你们就放过我吧~！
1010204030,カトリナ,けど、ここなが猫でも虎でも関係ないわ。/n次の主役はアタシが勝ち取ってみせるから。,可是，与心菜是猫还是老虎无关。/n这一次，我一定会在试镜胜过所有人，成为主角。
1010204031,静香,ずいぶん気合入ってるわね……。,还真是干劲十足啊……
1010204032,カトリナ,アタシだけじゃない、ここにいるみんながそう思ってるわよ。/nアンタたちにばっかり、センターポジションは取らせない。,不只是我，在场的所有人都是这么想的。/n不会让你们永远占据着舞台中心的位置。
1010204033,静香,光栄な話ね。でも、オーディションを受けるからには、/n私もここなも本気で役を取りにいくわ。,那还真是感谢你们的厚爱。不过，既然要参加试镜，/n我和心菜自然会使出全力取得角色。
1010204034,ここな,うん！　私も負けない！,嗯！我也不会输给你们！
1010204035,カトリナ,望むところよ。/nそんなアンタたちに勝てなきゃ、意味ないもの！,正合我意。/n如果你们不使出全力，那就算胜过你们也没有意义呀！
info,录制：ylaie 翻译：null  校对：潮留开,,
title,接下来的舞台是,,
